,State Abbreviation,State Name,Job Count,Post per Salary Range,Posts per County,Posts per Company,Post per Experience Level,Posts per Jop Type,Mean Salary Per State
32,OH,North Carolina,284,"{'85000': '53', '55000': '231', '70000': '155', '65000': '189', '80000': '93'}","{'Twinsburg': '6', 'Cleveland': '45', 'Westerville': '5', 'Columbus': '58', 'Dayton': '6', 'Reynoldsburg': '6', 'Akron': '8', 'Independence': '5', 'Shaker Heights': '4', 'Dublin': '6', 'Toledo': '5', 'North Canton': '4', 'Canton': '4', 'Cincinnati': '26'}","{'JP Morgan Chase': '4', 'NetJets': '3', 'Northwestern Mutual': '5', 'University Hospitals': '5', 'Envision RX': '4', 'UC Health': '3', 'Anthem': ' Inc.', 'Bank of America': '19', ""Victoria's Secret"": '6', 'Robert Half Finance & Accounting': '5', 'Huntington Bank': '3', 'TalentPool Search': ' Inc.', 'Vantiv': '3', 'Cleveland Clinic': '9', 'Action Management Services': '4'}","{'Entry_Level': '60', 'Mid_Level': '117', 'Senior_Level': '55'}","{'Full-time': '277', 'Internship': '2', 'Temporary': '3', 'Commission': '2', 'Contract': '11'}",63773
33,OK,North Dakota,41,"{'70000': '14', '75000': '11', '65000': '17', '60000': '23', '50000': '30'}","{'Jenks': '1', 'Norman': '1', 'Edmond': '3', 'Broken Bow': '1', 'Tulsa': '15', 'Oklahoma City': '19', 'Lawton': '1'}","{'MidFirst Bank': '2', 'BOEING': '1', 'Oklahoma Air National Guard': '2', 'University of Oklahoma': '1', 'Verizon': '2', 'Hobby Lobby': '1', 'Robert Half Finance & Accounting': '4', 'Integris Health': '1', 'Bank of America': '4', 'OU Medical Center': '1', 'Mattresses and Furniture': '1', 'Hertz': '1', 'Intermedix': '1', 'Oklahoma Goodwill': '1', 'GlobalHealth': '1'}","{'Entry_Level': '14', 'Mid_Level': '16', 'Senior_Level': '6'}","{'Full-time': '39', 'Part-time': '3'}",60929
34,OR,Ohio,79,"{'85000': '15', '75000': '38', '65000': '55', '60000': '60', '80000': '24'}","{'Portland': '45', 'Ashland': '2', 'Salem': '4', 'Lake Oswego': '3', 'Ontario': '1', 'Tigard': '2', 'Wilsonville': '2', 'Eugene': '1', 'Medford': '2', 'Beaverton': '4', 'Tualatin': '3', 'Aurora': '1', 'Hood River': '3'}","{'Parker and Lynch': '2', 'KinderCare Education': '3', 'Bank Of America': '8', 'Experis': '2', 'Evo Solutions': '2', 'Rabo Agri Finance LLC': '1', 'Lam Research': '2', 'Triad Technology Group': '2', 'Columbia Bank': '1', 'Calibre Systems': ' Inc.', 'Columbia Helicopters': '1', 'Standard': ' The', 'ATRIO Health Plans': '1', 'Robert Half Finance & Accounting': '4', 'The Standard Insurance': '2'}","{'Entry_Level': '17', 'Mid_Level': '37', 'Senior_Level': '11'}","{'Full-time': '71', 'Internship': '1', 'Temporary': '1', 'Contract': '12'}",65885
35,PA,Oklahoma,412,"{'85000': '66', '55000': '290', '60000': '262', '70000': '194', '80000': '113'}","{'Yardley': '6', 'York': '9', 'Allentown': '8', 'Chambersburg': '10', 'Philadelphia': '75', 'Pittsburgh': '61', 'King of Prussia': '12', 'Harrisburg': '11', 'Lancaster': '7', 'Wilkes-Barre': '5', 'Malvern': '15', 'Camp Hill': '11', 'Conshohocken': '8', 'Wayne': '6'}","{'Xplora Search Group': '6', 'Parker and Lynch': '6', 'Northwestern Mutual - Moosic': ' PA', 'International Financial Group': '4', 'Aramark': '4', 'Thermo Fisher Scientific': '4', 'Foot Locker': ' Inc.', 'CALIBRE Systems': ' Inc.', 'firstPROPhiladelphia': '7', 'Highmark Health': '9', 'Bank of America': '69', 'Cobham': '4', 'Marsh': '4', 'Robert Half Finance & Accounting': '11', 'Accounting Principals': '7'}","{'Entry_Level': '141', 'Mid_Level': '140', 'Senior_Level': '62'}","{'Full-time': '396', 'Internship': '1', 'Commission': '7', 'Part-time': '7', 'Temporary': '11', 'Contract': '22'}",63371
36,RI,Oregon,32,"{'75000': '12', '55000': '23', '65000': '18', '50000': '26', '85000': '5'}","{'East Greenwich': '1', 'Providence': '14', 'Lincoln': '1', 'Cranston': '2', 'Cumberland': '2', 'Middletown': '1', 'Newport': '5', 'Smithfield': '3', 'Warwick': '3'}","{'CVS Health': '3', 'The Greysmith Companies': '3', 'CITIZENS BANK': '2', 'FGX International': ' Inc.', 'Blue Cross Blue Shield of Rhode Island': '1', 'Lifespan': '5', 'C. R. Bard': '1', 'ICI Services Corporation': '1', 'Blue Cross & Blue Shield of Rhode Island': '1', 'Becton Dickinson & Company': '1', 'Corvias Group': '1', 'Systems Resource Management': '1', 'MetLife': '1', 'SEA CORP Systems Engineering Associates Corporation': '1', 'NTT DATA Services': '1'}","{'Entry_Level': '7', 'Mid_Level': '12', 'Senior_Level': '5'}","{'Full-time': '32', 'Internship': '1', 'Commission': '1'}",65288
37,SC,Pennsylvania,72,"{'70000': '32', '75000': '26', '60000': '44', '50000': '56', '85000': '12'}","{'Hilton Head Island': '2', 'Greenville': '14', 'Anderson': '3', 'Moncks Corner': '2', 'Aiken': '5', 'Rock Hill': '2', 'Columbia': '8', 'Charleston': '15', 'Hartsville': '1', 'Mount Pleasant': '2', 'Greenwood': '1', 'North Charleston': '2', 'Spartanburg': '4', 'Fort Mill': '6'}","{'TTI': '2', 'C. R. Bard': '1', 'Blackbaud': '3', 'Areva': '2', 'Wells Fargo': '1', 'SC Career Search': '2', 'Honeywell': '2', 'BOEING': '2', 'Harmony Senior Services': '1', 'Bank of America': '11', 'IFA North America': ' LLC', 'Spartanburg Regional Healthcare System': '3', 'Sentar': ' Inc.', 'DP Professionals': '2', 'Robert Half Finance & Accounting': '3'}","{'Entry_Level': '23', 'Mid_Level': '31', 'Senior_Level': '11'}","{'Full-time': '66', 'Temporary': '3', 'Commission': '4', 'Contract': '10'}",64965
38,SD,Rhode Island,6,"{'65000': '2', '60000': '3'}",{'Sioux Falls': '6'},"{'Bank of America': '1', 'Sanford Health': '3', 'Citi': '1', 'DocuTAP': '1'}","{'Entry_Level': '1', 'Mid_Level': '3'}",{'Full-time': '6'},60029
39,TN,South Carolina,147,"{'70000': '60', '75000': '47', '60000': '80', '50000': '101', '80000': '31'}","{'Brentwood': '14', 'Selmer': '1', 'Morristown': '3', 'Lebanon': '4', 'Memphis': '33', 'Smyrna': '1', 'Columbia': '2', 'Chattanooga': '11', 'Johnson City': '2', 'Knoxville': '6', 'Greeneville': '1', 'Nashville': '42', 'Athens': '1', 'Franklin': '19'}","{'Capitol View Bldg 1600': '3', 'Bank Of America': '14', 'Wright Medical': '3', 'First Horizon Home Loans': '5', 'HCA Corporate': '3', 'Unum': '2', 'Vanderbilt University Medical Center': '3', 'AutoZone': '9', 'Cracker Barrel': '3', 'Nashville Physician Service Ce': '4', 'Bridgestone Americas': '5', 'Sarah Cannon Network': '3', 'Abacus Technology': '2', 'Robert Half Finance & Accounting': '3', 'Accounting Principals': '3'}","{'Entry_Level': '40', 'Mid_Level': '56', 'Senior_Level': '21'}","{'Full-time': '140', 'Temporary': '1', 'Part-time': '1', 'Commission': '1', 'Contract': '11'}",60106
40,TX,South Dakota,660,"{'85000': '130', '75000': '296', '65000': '448', '60000': '508', '80000': '214'}","{'Richardson': '7', 'Grand Prairie': '11', 'Flower Mound': '6', 'Fort Worth': '22', 'Arlington': '6', 'McKinney': '14', 'Houston': '144', 'Sugar Land': '12', 'Dallas': '127', 'San Antonio': '48', 'Plano': '32', 'Austin': '73', 'Galveston': '8', 'Irving': '33'}","{'Parker and Lynch': '9', 'Bank Of America': '56', 'Essilor of America': ' Inc.', ""Texas Children's Hospital"": '9', 'Lockheed Martin': '9', 'UT Southwestern Medical Center': '8', 'Dean Foods Company': '5', 'VIP Search Group': '5', 'Texas Health and Human Services Commission': '7', 'Alliance Data': '9', 'USAA': '4', 'MGRAR': '6', 'Raytheon': '18', '7-Eleven': '6', 'Robert Half Finance & Accounting': '33'}","{'Entry_Level': '146', 'Mid_Level': '303', 'Senior_Level': '94'}","{'Full-time': '630', 'Internship': '2', 'Commission': '6', 'Part-time': '11', 'Temporary': '13', 'Contract': '44'}",69565
41,UT,Tennessee,80,"{'75000': '13', '55000': '58', '65000': '31', '60000': '38', '50000': '61'}","{'Cottonwood': '3', 'Magna': '1', 'Salt Lake City': '39', 'Draper': '1', 'South Jordan': '7', 'Provo': '9', 'Lehi': '3', 'Hill AFB': '2', 'Clearfield': '2', 'West Valley City': '1', 'Cottonwood Heights': '2', 'Farmington': '1', 'Park City': '1'}","{'Merit Medical Systems Inc.': '1', 'Zions Bank': '4', 'computing concepts inc.': '3', 'Wells Fargo': '2', 'Nu Skin': '2', 'Select Portfolio Servicing': '2', 'BAE Systems': '2', 'Bank of America': '8', 'L3 Technologies': '3', 'University of Utah': '2', 'Zions Bancorporation': '4', 'Solomon Page': '2', 'Micro Focus': '2', 'Orbital ATK': '4', ""Nature's Sunshine"": '2'}","{'Entry_Level': '31', 'Mid_Level': '30', 'Senior_Level': '7'}","{'Full-time': '72', 'Temporary': '1', 'Contract': '12'}",56500
42,VT,Texas,10,"{'70000': '3', '55000': '7', '60000': '6', '65000': '5', '80000': '1'}","{'Weybridge': '1', 'Colchester': '2', 'Saint Albans': '1', 'Waterbury': '3', 'Burlington': '2', 'Manchester Center': '1'}","{'Bank of America': '2', 'The University of Vermont Medical Center': '1', 'Sony Mobile': '1', 'Unilever': '1', 'Keurig Green Mountain': '2', 'Koffee Kup Bakery': ' Inc.', 'Northwestern Counseling': '1', 'State of Vermont': '1'}","{'Entry_Level': '5', 'Mid_Level': '4'}",{'Full-time': '10'},56347
43,VA,Utah,434,"{'90000': '71', '75000': '217', '60000': '341', '70000': '272', '80000': '169'}","{'Richmond': '32', 'Reston': '22', 'Stafford': '9', 'Arlington': '76', 'Alexandria': '14', 'Herndon': '15', 'Chantilly': '14', 'McLean': '30', 'Norfolk': '21', 'Fairfax': '17', 'Fairfax County': '10', 'Virginia Beach': '9', 'Springfield': '19', 'Vienna': '11'}","{'Vencore': '8', 'Leidos': '8', 'IFAS LLC': '4', 'Verizon': '5', 'Search Pro Group': '7', 'Owens & Minor': '3', 'Amazon.com': '4', 'Kalman & Company': ' Inc.', 'Ironclad Technology Services': '5', 'Booz Allen Hamilton': '6', 'Bank of America': '13', 'Fairfax County Public Schools': '4', 'SHINE Systems & Technologies': '4', 'Capital Search Group': '5', 'PAE': '4'}","{'Entry_Level': '70', 'Mid_Level': '206', 'Senior_Level': '77'}","{'Full-time': '410', 'Internship': '3', 'Commission': '3', 'Part-time': '8', 'Temporary': '6', 'Contract': '29'}",70573
44,WA,Vermont,255,"{'85000': '35', '75000': '67', '65000': '97', '60000': '111', '80000': '53'}","{'Federal Way': '4', 'Kent': '4', 'Everett': '5', 'Renton': '6', 'Bellevue': '27', 'Tacoma': '9', 'Bellingham': '3', 'Spokane': '3', 'Redmond': '5', 'Ferndale': '3', 'Vancouver': '9', 'Woodinville': '3', 'Seattle': '149', 'Bothell': '5'}","{'Volt': '2', 'T-Mobile': '2', 'Timken': '3', 'Nordstrom': '3', 'MOD Pizza': '2', 'Expedia': '4', 'PACCAR': '3', 'Parker and Lynch': '9', 'Bank of America': '20', 'Washington State University': '2', 'University of Washington': '6', 'nLIGHT': '2', 'Kaiser Permanente': '3', 'Amazon.com': '104', 'SAVERS': '4'}","{'Entry_Level': '39', 'Mid_Level': '99', 'Senior_Level': '65'}","{'Full-time': '245', 'Internship': '1', 'Commission': '2', 'Part-time': '2', 'Temporary': '4', 'Contract': '13'}",65780
45,WV,Virginia,9,"{'60000': '2', '50000': '5'}","{'Huntington': '2', 'Bridgeport': '1', 'Charleston': '1', 'Culloden': '1', 'Morgantown': '1', 'Kearneysville': '2'}","{'Bank of America': '3', 'Powertek Corporation': '1', 'Ho-Chunk': '1', 'State of West Virginia': '1', 'SERVICE WIRE COMPANY': '1', 'Cabell Huntington Hospital': '1', 'WVU Healthcare': '1'}","{'Entry_Level': '7', 'Mid_Level': '2'}",{'Full-time': '9'},N\A
46,WI,Washington,133,"{'85000': '30', '55000': '105', '60000': '90', '70000': '59', '80000': '44'}","{'Hudson': '3', 'Mequon': '2', 'Madison': '18', 'Milwaukee': '30', 'Neenah': '5', 'Pleasant Prairie': '3', 'Brown Deer': '5', 'Saukville': '2', 'Green Bay': '9', 'Appleton': '4', 'Waterloo': '3', 'Waukesha': '4', 'Menomonee Falls': '5', 'Middleton': '3'}","{'Madison Gas and Electric': '2', 'Baker Tilly Virchow Krause': '2', 'FIS': '7', 'Springs Window Fashions': '2', ""Kohl's"": '4', 'Mercyhealth': '2', ""Lands' End"": '2', 'Harley-Davidson': '3', 'Parker and Lynch': '6', 'Bank of America': '8', 'WPS Health Solutions': '2', 'Kerry': '3', 'National General Insurance': '2', 'Trek Bicycle': '3', 'Rockwell Automation': '3'}","{'Entry_Level': '35', 'Mid_Level': '64', 'Senior_Level': '18'}","{'Full-time': '126', 'Part-time': '2', 'Commission': '3', 'Contract': '4'}",58416
47,WY,West Virginia,1,{},{'Casper': '1'},{'Bank of America': '1'},{'Entry_Level': '1'},{'Full-time': '1'},N\A
