,State Abbreviation,State Name,Job Count,Post per Salary Range,Posts per County,Posts per Company,Post per Experience Level,Posts per Jop Type,Mean Salary Per State
14,KY,Iowa,49,"{'70000': '17', '65000': '20', '60000': '26', '50000': '32', '80000': '8'}","{'Shepherdsville': '1', 'Ashland': '1', 'Warren County': '5', 'Paducah': '1', 'Elizabethtown': '1', 'Fort Mitchell': '1', 'Hebron': '1', 'Lexington': '11', 'Bowling Green': '2', 'Pikeville': '2', 'Louisville': '22', 'Florence': '1'}","{'Commonwealth of Kentucky': '5', 'Humana': '1', 'Kindred Healthcare': '1', 'Computer Services Inc.': '1', 'Amazon.com': '3', 'Charah': ' Inc.', 'V-Soft Consulting Group': ' Inc.', 'Bank of America': '4', 'Metalsa Structural Products Inc': '1', 'Lockheed Martin': '7', 'Mastech Digital': '2', 'Brown-Forman': '1', 'GE Appliances': '3', 'Equian LLC': '1', 'Accounting Principals': '2'}","{'Entry_Level': '11', 'Mid_Level': '17', 'Senior_Level': '9'}","{'Full-time': '44', 'Temporary': '1', 'Contract': '6'}",63614
15,LA,Kansas,27,"{'70000': '8', '65000': '11', '60000': '13', '50000': '18', '80000': '4'}","{'Mandeville': '1', 'Slidell': '2', 'Chalmette': '1', 'Shreveport': '3', 'Baton Rouge': '2', 'Lafayette': '1', 'Michoud': '1', 'New Orleans': '8', 'Pineville': '1', 'West Monroe': '1', 'Lake Charles': '1', 'Metairie': '1', 'Bogalusa': '1', 'Central': '1'}","{'Cleco': '1', 'Adecco': '1', 'Franciscan Missionaries of Our Lady Health System': '1', 'Textron': '1', 'Entergy': '1', 'S3': '1', 'Ochsner Health System': '2', 'Booz Allen Hamilton': '1', 'Bank of America': '7', 'CARSI': '1', 'EHS Technologies': '1', 'GIFTED Healthcare': '1', 'Hancock Holding Company': '2', 'Republic Finance': '1', 'Cornerstone Chemical Company': '1'}","{'Entry_Level': '11', 'Mid_Level': '8', 'Senior_Level': '5'}",{'Full-time': '27'},59170
16,ME,Kentucky,25,"{'85000': '4', '55000': '18', '65000': '12', '70000': '8', '50000': '20'}","{'Portland': '6', 'Brewer': '4', 'Westbrook': '2', 'Lewiston': '1', 'Limerick': '1', 'Augusta': '1', 'South Portland': '3', 'Brunswick': '1', 'Pittsfield': '1', 'North Berwick': '1', 'Boothbay': '1', 'Scarborough': '2', 'Rockland': '1'}","{'Adecco Direct Placement': '1', 'EMHS': '4', 'Micro Tech Staffing Group': '1', 'Cianbro': '1', 'Worldwide TechServices': '1', 'IDEXX Laboratories': '2', 'Knickerbocker Group Inc.': '1', 'Bank of America': '2', 'Maine Department of Health and Human Services/Office of Financial Management': '1', 'Retail Business Services': '1', 'Spectrum Healthcare Partners': '1', 'Maine Medical Center': '4', 'Greater Portland Health': '1', 'Citra Health Solutions': '1', 'Bowdoin College': '1'}","{'Entry_Level': '6', 'Mid_Level': '11', 'Senior_Level': '2'}","{'Full-time': '25', 'Contract': '2'}",54621
17,MD,Louisiana,316,"{'75000': '143', '55000': '240', '80000': '104', '65000': '210', '85000': '68'}","{'Fort Meade': '28', 'Andrews AFB': '5', 'Baltimore': '70', 'Owings Mills': '8', 'Frederick': '5', 'Towson': '7', 'Bethesda': '19', 'Columbia': '15', 'Hagerstown': '6', 'Rockville': '14', 'Hunt Valley': '9', 'Lexington Park': '19', 'Annapolis Junction': '11', 'Patuxent River': '15'}","{'Applied Integrated Technologies': '4', 'Bank Of America': '36', 'IFAS LLC': '5', 'Computing Concepts Inc.': '4', 'T. Rowe Price': '6', '2u': '4', 'Laureate International Universities': '5', 'Johns Hopkins Hospital/Johns Hopkins Health System': '4', 'CACI International Inc': '3', 'KBRwyle': '7', 'Johns Hopkins University': '7', 'Morgan Stanley': '6', 'IronArch': '3', 'Booz Allen Hamilton': '3', 'Island Creek Associates': ' LLC'}","{'Entry_Level': '99', 'Mid_Level': '118', 'Senior_Level': '48'}","{'Full-time': '290', 'Internship': '4', 'Commission': '1', 'Part-time': '3', 'Temporary': '3', 'Contract': '30'}",64530
18,MA,Maine,397,"{'85000': '128', '75000': '206', '60000': '332', '70000': '254', '90000': '92'}","{'Quincy': '9', 'Waltham': '31', 'Needham': '5', 'Andover': '6', 'Westborough': '12', 'Burlington': '23', 'Framingham': '12', 'Billerica': '8', 'Cambridge': '16', 'Springfield': '6', 'Bedford': '12', 'Marlborough': '7', 'Boston': '122', 'Worcester': '10'}","{'State Street': '9', 'Lahey Hospital and Medical Center': ' A Member of Lahey Health', 'The TJX Companies': ' Inc.', 'The Atlantic Group': '4', 'Boston Medical Center': 'BMC', 'WinterWyman': '13', ""Brigham & Women's Hospital(BWH"": '4', 'Roessel Joy': '4', 'Raytheon': '10', 'Boston University': '4', 'Bank of America': '17', ""Boston Children's Hospital"": '5', 'KBW Financial': '13', 'Thermo Fisher Scientific': '9', 'MFS Investment Management': '5'}","{'Entry_Level': '95', 'Mid_Level': '166', 'Senior_Level': '71'}","{'Full-time': '372', 'Internship': '2', 'Commission': '7', 'Part-time': '4', 'Temporary': '6', 'Contract': '39'}",65645
19,MI,Maryland,218,"{'75000': '91', '55000': '177', '70000': '120', '65000': '143', '80000': '62'}","{'Farmington Hills': '8', 'Novi': '5', 'Troy': '20', 'Southfield': '18', 'Lansing': '8', 'Dearborn': '7', 'Jackson': '6', 'Bloomfield Hills': '5', 'Grand Rapids': '9', 'Auburn Hills': '13', 'Ann Arbor': '9', 'Detroit': '29', 'Livonia': '5', 'Kalamazoo': '9'}","{'Impact Business Group': '3', 'Blue Cross Blue Shield of Michigan': '3', 'Bank Of America': '12', 'American Axle & Manufacturing': ' Inc.', 'Cummins': '4', 'State of Michigan': '5', 'Fiat Chrysler Automobiles': '4', 'Aptiv': '4', 'Parker and Lynch': '5', 'AccessPoint': '2', 'Auto Club Group': '3', 'Venteon': '10', 'Ally Financial': '4', 'Robert Half Finance & Accounting': '13', 'Accretive Solutions': '3'}","{'Entry_Level': '52', 'Mid_Level': '94', 'Senior_Level': '31'}","{'Full-time': '201', 'Internship': '1', 'Temporary': '3', 'Part-time': '2', 'Contract': '24'}",66045
20,MN,Massachusetts,213,"{'90000': '39', '75000': '95', '65000': '144', '60000': '159', '80000': '77'}","{'Rochester': '6', 'Wayzata': '4', 'Roseville': '3', 'Edina': '3', 'Golden Valley': '6', 'Saint Paul': '13', 'Bloomington': '13', 'Mounds View': '5', 'Eden Prairie': '26', 'Minneapolis': '60', 'Plymouth': '7', 'Vadnais Heights': '4', 'Minnetonka': '15'}","{'Versique': '4', 'DELUXE CORPORATION': '3', 'H.B. Fuller': '4', 'A-Line Staffing': '3', 'Ecolab': '3', 'Robert Half Management Resources': '22', 'Klein Management Systems': '4', 'Bank of America': '6', 'Pentair': '3', 'UnitedHealth Group': '13', 'TCF Bank': '4', 'Ameriprise Financial': '3', 'SuperValu Inc.': '4', 'U.S. Bank': '5', 'Medtronic': '6'}","{'Entry_Level': '35', 'Mid_Level': '81', 'Senior_Level': '40'}","{'Full-time': '203', 'Temporary': '6', 'Commission': '3', 'Part-time': '2', 'Contract': '14'}",67909
21,MS,Michigan,23,"{'75000': '5', '55000': '14', '40000': '18', '70000': '7', '60000': '9'}","{'Iuka': '3', 'Madison': '1', 'Forest': '2', 'Tupelo': '1', 'Flowood': '3', 'Stennis Space Center': '1', 'Canton': '1', 'Biloxi': '1', 'Pascagoula': '2', 'Gulfport': '1', 'Ridgeland': '3', 'Jackson': '2', 'McComb': '1', 'Corinth': '1'}","{'Vitaver & Associates': '1', 'L3 Technologies': '1', 'C Spire': '2', 'Medsphere Systems Corporation': '1', 'Weaver Investments Group': '2', 'Raytheon': '2', 'Bank of America': '3', 'The University of Mississippi Medical Center': '1', 'ICI Services Corporation': '2', 'Hancock Holding Company': '1', 'Thompson Investments': '1', 'Orbital ATK': '1', 'National Recruiters': ' LLC', 'Unified Brands': '1', 'Sims & Associates Financial Group': '1'}","{'Entry_Level': '9', 'Mid_Level': '8', 'Senior_Level': '1'}","{'Full-time': '23', 'Internship': '2', 'Temporary': '2', 'Part-time': '4'}",58974
22,MO,Minnesota,138,"{'75000': '41', '55000': '91', '60000': '82', '65000': '70', '80000': '24'}","{'Blue Springs': '2', 'St. Louis': '63', 'Chesterfield': '5', 'Fenton': '1', 'Creve Coeur': '1', 'Columbia': '3', 'Maryland Heights': '2', 'Monett': '2', 'University City': '1', 'Town and Country': '1', 'Kansas City': '34', 'Richmond Heights': '2', 'Springfield': '8', 'Clayton': '6'}","{'Mercy': '5', 'Bank Of America': '14', 'Express Scripts': '3', 'The STEM Consultants': '2', 'Lockheed Martin': '2', 'U.S. Bank': '2', 'H&R Block': '3', 'Hallmark': '5', 'Positronic Industries': ' Inc', 'Parker and Lynch': '4', 'SSM Health': '5', 'Washington University in St. Louis': '5', 'Centene': '2', 'Robert Half Finance & Accounting': '3', 'Accounting Principals': '2'}","{'Entry_Level': '35', 'Mid_Level': '57', 'Senior_Level': '19'}","{'Full-time': '125', 'Internship': '2', 'Commission': '2', 'Part-time': '6', 'Temporary': '3', 'Contract': '11'}",57223
23,MT,Mississippi,10,"{'100000': '1', '55000': '5', '80000': '2', '70000': '3'}","{'Bozeman': '1', 'Missoula': '1', 'Whitefish': '1', 'Great Falls': '3', 'Kalispell': '1', 'Billings': '2'}","{'Benefis Health System': '1', 'Bank Of America': '4', 'Applied Materials': '1', 'Great Falls Clinic': '2', 'D.A. Davidson & Co.': '1', 'Billings Gazette': '1'}","{'Entry_Level': '4', 'Mid_Level': '3', 'Senior_Level': '1'}",{'Full-time': '10'},N\A
24,NE,Missouri,25,"{'75000': '9', '65000': '17', '60000': '19', '70000': '11', '80000': '4'}","{'Omaha': '18', 'Lincoln': '7'}","{'Callahan Financial Planning Company': '1', 'Bank Of America': '2', ""Children's Hospital & Medical Center - Omaha"": '2', 'Lutz': '1', 'State of Nebraska': '2', 'Schneider Electric': '1', 'Nelnet': '1', 'Nebraska Book': '1', 'TSYS': '1', 'Conagra Brands': '1', 'NorthStar Financial Services Group': ' LLC', 'CHI Health': '1', 'S.C. International': '1', 'Hemphill Staffing Solutions': '1'}","{'Entry_Level': '7', 'Mid_Level': '13', 'Senior_Level': '2'}","{'Full-time': '25', 'Temporary': '1', 'Contract': '1'}",61814
25,NV,Montana,50,"{'70000': '13', '65000': '18', '60000': '24', '50000': '30', '80000': '7'}","{'Sparks': '3', 'North Las Vegas': '1', 'Carson City': '3', 'Henderson': '4', 'Las Vegas': '23', 'Minden': '1', 'Reno': '14'}","{'Levi Strauss & Co.': '2', 'Corp Office: LV': '1', 'Zappos.com': ' Inc.', 'Renown Health': '2', 'Ameriprise Financial': '1', 'Insight Administrative Services': '1', 'Barrick Gold Corporation': '1', 'Aristocrat Technologies': '1', 'Affinity Gaming': '1', 'Bank of America': '15', 'Allegiant Travel Company': '3', 'VALLEY HEALTH SYSTEM LLC': '1', 'Clearwater Paper': '1', 'University of Nevada': ' Las Vegas', 'Robert Half Finance & Accounting': '1'}","{'Entry_Level': '24', 'Mid_Level': '19', 'Senior_Level': '1'}","{'Full-time': '46', 'Internship': '2', 'Commission': '1', 'Part-time': '1', 'Contract': '2', 'Temporary': '2'}",61314
26,NH,Nebraska,39,"{'75000': '15', '65000': '27', '60000': '31', '70000': '22', '80000': '10'}","{'Merrimack': '3', 'Hampton': '1', 'Portsmouth': '3', 'Lebanon': '1', 'Hanover': '3', 'Hooksett': '2', 'Amherst': '1', 'Concord': '1', 'Exeter': '1', 'Manchester': '14', 'Londonderry': '4', 'Dover': '1', 'Bedford': '2', 'Keene': '1'}","{'Physician Practice Solutions': '1', 'Staff Hunters': '3', 'Hypertherm': '2', 'C&S Wholesale Grocers': '1', 'OPTICS 1': ' INC.', 'Elliot Health System': '1', 'BAE Systems': '2', 'Bank of America': '4', 'Cobham': '1', 'L3 Technologies': '1', 'LisleGroup': '1', 'KBW Financial': '5', 'PillPack': '1', 'Velcro USA Inc.': '2', 'Robert Half Finance & Accounting': '3'}","{'Entry_Level': '12', 'Mid_Level': '14', 'Senior_Level': '7'}","{'Full-time': '36', 'Commission': '1', 'Contract': '2'}",67197
27,NJ,Nevada,334,"{'85000': '113', '95000': '57', '60000': '258', '70000': '220', '80000': '148'}","{'Florham Park': '8', 'Newark': '11', 'Madison': '8', 'Morristown': '8', 'Parsippany': '21', 'Basking Ridge': '10', 'Mount Laurel': '11', 'Paramus': '8', 'Weehawken': '7', 'Secaucus': '14', 'Bridgewater': '9', 'Princeton': '14', 'Jersey City': '21'}","{'Atrium Staffing': '6', 'Adecco Direct Placement': '4', 'UBS': '7', 'Mondelez International': '5', 'Foster McKay': '12', 'Quest Diagnostics': '9', 'Verizon': '8', 'RB': '3', 'Bank of America': '34', 'Prudential': '5', 'The Execu|Search Group': '7', 'Stryker': '5', 'TD Bank': '6', 'Robert Half Finance & Accounting': '15', 'Accounting Principals': '6'}","{'Entry_Level': '97', 'Mid_Level': '135', 'Senior_Level': '47'}","{'Full-time': '291', 'Temporary': '20', 'Commission': '4', 'Part-time': '4', 'Contract': '44'}",67972
28,NM,New Hampshire,16,"{'45000': '11', '65000': '7', '60000': '10', '70000': '5', '80000': '3'}","{'Albuquerque': '9', 'Las Cruces': '1', 'Santa Fe': '4', 'Las Vegas': '1', 'Artesia': '1'}","{'DaVita Medical Group': '1', 'New Mexico State Personnel Office': '1', 'HUB International': '1', 'UNM Medical Group': ' Inc.', 'BlueSky Solutions': '1', 'Tecolote Research': ' Inc.', 'Bank of America': '4', 'UNM Hospitals': '1', 'Nusenda Credit Union': '1', 'Raytheon': '1', 'Artesia General Hospital': '1', 'Robert Half Finance & Accounting': '1', 'New Mexico Highlands University': '1'}","{'Entry_Level': '4', 'Mid_Level': '9', 'Senior_Level': '2'}","{'Full-time': '15', 'Part-time': '1'}",56421
29,NY,New Jersey,697,"{'100000': '125', '85000': '268', '60000': '561', '70000': '473', '80000': '338'}","{'Rochester': '15', 'Buffalo': '24', 'Manhattan': '5', 'Syracuse': '13', 'Bronx': '6', 'Port Washington': '5', 'Ithaca': '5', 'New York': '451', 'Hauppauge': '7', 'Melville': '10', 'Albany': '6', 'Brooklyn': '17', 'White Plains': '10'}","{'Parker and Lynch': '8', 'New York Community Bancorp Inc': 'NYCB', 'Marsh': '6', 'Mission Staffing': '11', 'NYP/Weill Cornell Medical Center': '7', 'Mount Sinai Health System': '11', 'Citi': '11', 'Blackstone': '12', 'Bank of America': '47', 'JP Morgan Chase': '7', 'The Execu|Search Group': '14', 'Columbia University': '10', 'The Forum Group': '7', 'Solomon Page': '7', 'Robert Half Finance & Accounting': '12'}","{'Entry_Level': '189', 'Mid_Level': '298', 'Senior_Level': '94'}","{'Full-time': '643', 'Internship': '5', 'Commission': '8', 'Part-time': '4', 'Contract': '48', 'Temporary': '34'}",71161
30,NC,New Mexico,303,"{'85000': '62', '65000': '193', '60000': '218', '70000': '155', '80000': '93'}","{'Research Triangle Park': '4', 'Durham': '27', 'Huntersville': '4', 'Morrisville': '6', 'Winston-Salem': '18', 'High Point': '6', 'Charlotte': '102', 'Greensboro': '21', 'Fayetteville': '4', 'Mooresville': '5', 'Cary': '8', 'Chapel Hill': '5', 'Raleigh': '39', 'Asheville': '5'}","{'Belk': '3', 'BB&T': '6', 'Local Government Federal Credit Union': '4', 'Sherpa LLC': '7', 'Search Solution Group': '3', 'Parker and Lynch': '6', 'Bank of America': '43', 'XPO Logistics': '4', 'Syneos Health Clinical': '3', 'Global Brands Group': '4', 'Duke University and Duke University Health System': '6', 'Eaton': '8', 'Credit Suisse': '9', 'Novant Health': '6', 'Robert Half Finance & Accounting': '8'}","{'Entry_Level': '82', 'Mid_Level': '122', 'Senior_Level': '39'}","{'Full-time': '285', 'Internship': '2', 'Part-time': '1', 'Commission': '4', 'Contract': '25'}",66746
31,ND,New York,8,"{'65000': '3', '60000': '5', '70000': '1'}",{'Fargo': '8'},"{'Preference Employment Solutions': '2', 'Bank of America': '1', 'CNH Industrial': '1', 'RDO Equipment Co.': '1', 'Sanford Health': '2', 'Noridian Healthcare Solutions': ' LLC'}","{'Entry_Level': '1', 'Mid_Level': '6'}",{'Full-time': '8'},43821
